Device Name;Region;Type;Famille;Produit;Edition;Version
Device 227;EMEA;Desktop;Office;Project;Standard;2010
Device 227;EMEA;Desktop;Office;Visio;Standard;2007
Device 228;EMEA;Desktop;Office;Office;Home and Business;2013
Device 229;EMEA;Desktop;Office;Office;Professional;2013
Device 230;EMEA;Desktop;Office;Visio;Standard;2007
Device 230;EMEA;Desktop;Office;Office;Professional;2013
Device 231;EMEA;Desktop;Office;Office;Professional;2013
Device 232;EMEA;Desktop;Office;Office;Professional;2010
Device 233;EMEA;Desktop;Office;Office;Professional;2013
Device 234;EMEA;Desktop;Office;Office;Professional;2013
Device 235;EMEA;Desktop;Office;Office;Home and Business;2013
Device 235;EMEA;Desktop;Office;Project;Standard;2007
Device 235;EMEA;Desktop;Office;Visio;Standard;2007
Device 236;EMEA;Desktop;Office;Office;Professional;2013
Device 237;EMEA;Desktop;Office;Office;Home and Business;2013
Device 238;EMEA;Desktop;Office;Office;Home and Business;2013
Device 239;EMEA;Desktop;Office;Office;Home and Business;2013
Device 240;EMEA;Desktop;Office;Office;Home and Business;2013
Device 241;EMEA;Desktop;Office;Project;Standard;2010
Device 241;EMEA;Desktop;Office;Office;Home and Business;2013
Device 242;EMEA;Desktop;Office;Office;Professional;2013
Device 243;EMEA;Desktop;Office;Office;Home and Business;2013
Device 244;EMEA;Desktop;Office;Office;Home and Business;2013
Device 245;EMEA;Desktop;Office;Office;Home and Business;2013
Device 246;EMEA;Desktop;Office;Office;Home and Business;2016
Device 247;EMEA;Desktop;Office;Office;Home and Business;2013
Device 248;EMEA;Desktop;Office;Office;Home and Business;2013
Device 249;EMEA;Desktop;Office;Office;Home and Business;2013
Device 249;EMEA;Desktop;Office;Office;Professional;2010
Device 250;EMEA;Desktop;Office;Office;Professional;2013
Device 251;EMEA;Desktop;Office;Office;Home and Business;2013
Device 252;EMEA;Desktop;Office;Office;Small Business;2007
Device 253;EMEA;Desktop;Office;Office;Professional;2013
Device 254;EMEA;Desktop;Office;Office;Home and Business;2013
Device 255;EMEA;Desktop;Office;Office;Home and Business;2016
Device 255;EMEA;Desktop;Office;Visio;Standard;2010
Device 256;EMEA;Desktop;Office;Office;Professional;2013
Device 257;EMEA;Desktop;Office;Office;Home and Business;2016
Device 258;EMEA;Desktop;Office;Office;Home and Business;2010
Device 259;EMEA;Desktop;Office;Office;Home and Business;2013
Device 260;EMEA;Desktop;Office;Project;Standard;2013
Device 260;EMEA;Desktop;Office;Office;Home and Business;2013
Device 261;EMEA;Desktop;Office;Project;Standard;2013
Device 261;EMEA;Desktop;Office;Office;Home and Business;2013
Device 262;EMEA;Desktop;Office;Project;Standard;2010
Device 262;EMEA;Desktop;Office;Office;Home and Business;2013
Device 262;EMEA;Desktop;Office;Visio;Standard;2010
Device 263;EMEA;Desktop;Office;Office;Home and Business;2013
Device 263;EMEA;Desktop;Office;Office;Professional;2013
Device 264;EMEA;Desktop;Office;Project;Standard;2010
Device 264;EMEA;Desktop;Office;Visio;Standard;2003
Device 264;EMEA;Desktop;Visual;Visual Studio;Professional;2013
Device 264;EMEA;Desktop;Office;Office;Professional;2013
Device 265;EMEA;Desktop;Office;Office;Professional;2013
Device 266;EMEA;Desktop;Office;Office;Professional;2013
Device 267;EMEA;Desktop;Office;Office;Home and Business;2013
Device 268;EMEA;Desktop;Office;Office;Home and Business;2013
Device 269;EMEA;Desktop;Office;Office;Home and Business;2013
Device 270;EMEA;Desktop;Office;Office;Home and Business;2013
Device 271;EMEA;Desktop;Office;Project;Standard;2010
